Starting/resuming at k=0, theta=[50.0, 50.0]
iter 1/200 c_k=25.00 a_k=2.88 delta=[1, -1] plus=[75.0, 25.0] minus=[25.0, 75.0] score=0.375 (n=12) -> theta=[50.0, 50.0] [13s]
iter 2/200 c_k=23.31 a_k=2.80 delta=[-1, 1] plus=[26.7, 73.3] minus=[73.3, 26.7] score=0.375 (n=12) -> theta=[50.0, 50.0] [13s]
iter 3/200 c_k=22.37 a_k=2.73 delta=[1, -1] plus=[72.4, 27.6] minus=[27.6, 72.4] score=0.375 (n=12) -> theta=[50.0, 50.0] [10s]
iter 4/200 c_k=21.73 a_k=2.66 delta=[1, 1] plus=[71.7, 71.7] minus=[28.3, 28.3] score=0.333 (n=12) -> theta=[50.0, 50.0] [14s]
iter 5/200 c_k=21.25 a_k=2.59 delta=[1, -1] plus=[71.2, 28.7] minus=[28.7, 71.2] score=0.500 (n=12) -> theta=[50.0, 50.0] [11s]
iter 6/200 c_k=20.86 a_k=2.53 delta=[1, 1] plus=[70.8, 70.9] minus=[29.1, 29.1] score=0.542 (n=12) -> theta=[50.0, 50.0] [9s]
iter 7/200 c_k=20.54 a_k=2.48 delta=[-1, -1] plus=[29.4, 29.5] minus=[70.5, 70.5] score=0.417 (n=12) -> theta=[50.0, 50.0] [10s]
iter 8/200 c_k=20.26 a_k=2.42 delta=[1, -1] plus=[70.2, 29.7] minus=[29.7, 70.3] score=0.375 (n=12) -> theta=[50.0, 50.0] [11s]
iter 9/200 c_k=20.02 a_k=2.37 delta=[-1, -1] plus=[29.9, 30.0] minus=[70.0, 70.0] score=0.417 (n=12) -> theta=[50.0, 50.0] [17s]
iter 10/200 c_k=19.81 a_k=2.32 delta=[1, 1] plus=[69.8, 69.8] minus=[30.2, 30.2] score=0.458 (n=12) -> theta=[50.0, 50.0] [11s]
iter 11/200 c_k=19.62 a_k=2.28 delta=[-1, 1] plus=[30.3, 69.7] minus=[69.6, 30.4] score=0.625 (n=12) -> theta=[50.0, 50.0] [11s]
iter 12/200 c_k=19.45 a_k=2.23 delta=[-1, 1] plus=[30.5, 69.5] minus=[69.4, 30.6] score=0.417 (n=12) -> theta=[50.0, 50.0] [13s]
iter 13/200 c_k=19.29 a_k=2.19 delta=[-1, 1] plus=[30.7, 69.3] minus=[69.3, 30.7] score=0.417 (n=12) -> theta=[50.0, 50.0] [22s]
iter 14/200 c_k=19.15 a_k=2.15 delta=[-1, -1] plus=[30.8, 30.9] minus=[69.1, 69.2] score=0.500 (n=12) -> theta=[50.0, 50.0] [12s]
iter 15/200 c_k=19.02 a_k=2.12 delta=[1, 1] plus=[69.0, 69.0] minus=[31.0, 31.0] score=0.458 (n=12) -> theta=[50.0, 50.0] [9s]
iter 16/200 c_k=18.89 a_k=2.08 delta=[-1, 1] plus=[31.1, 68.9] minus=[68.9, 31.1] score=0.333 (n=12) -> theta=[50.0, 50.0] [12s]
iter 17/200 c_k=18.78 a_k=2.05 delta=[1, 1] plus=[68.8, 68.8] minus=[31.2, 31.2] score=0.500 (n=12) -> theta=[50.0, 50.0] [13s]
iter 18/200 c_k=18.67 a_k=2.01 delta=[-1, -1] plus=[31.3, 31.3] minus=[68.7, 68.7] score=0.417 (n=12) -> theta=[50.0, 50.0] [11s]
iter 19/200 c_k=18.57 a_k=1.98 delta=[-1, -1] plus=[31.4, 31.4] minus=[68.6, 68.6] score=0.542 (n=12) -> theta=[50.0, 50.0] [13s]
iter 20/200 c_k=18.47 a_k=1.95 delta=[-1, 1] plus=[31.5, 68.5] minus=[68.5, 31.5] score=0.458 (n=12) -> theta=[50.0, 50.0] [12s]
iter 21/200 c_k=18.38 a_k=1.92 delta=[1, 1] plus=[68.4, 68.4] minus=[31.6, 31.6] score=0.500 (n=12) -> theta=[50.0, 50.0] [15s]
iter 22/200 c_k=18.30 a_k=1.90 delta=[1, 1] plus=[68.3, 68.3] minus=[31.7, 31.7] score=0.458 (n=12) -> theta=[50.0, 50.0] [11s]
iter 23/200 c_k=18.21 a_k=1.87 delta=[1, -1] plus=[68.2, 31.8] minus=[31.8, 68.2] score=0.542 (n=12) -> theta=[50.0, 50.0] [13s]
iter 24/200 c_k=18.14 a_k=1.84 delta=[1, -1] plus=[68.1, 31.9] minus=[31.9, 68.1] score=0.333 (n=12) -> theta=[50.0, 50.0] [14s]
iter 25/200 c_k=18.06 a_k=1.82 delta=[-1, -1] plus=[31.9, 31.9] minus=[68.0, 68.1] score=0.542 (n=12) -> theta=[50.0, 50.0] [14s]
iter 26/200 c_k=17.99 a_k=1.80 delta=[1, 1] plus=[68.0, 68.0] minus=[32.0, 32.0] score=0.500 (n=12) -> theta=[50.0, 50.0] [10s]
iter 27/200 c_k=17.92 a_k=1.77 delta=[1, 1] plus=[67.9, 67.9] minus=[32.1, 32.1] score=0.500 (n=12) -> theta=[50.0, 50.0] [14s]
iter 28/200 c_k=17.86 a_k=1.75 delta=[-1, 1] plus=[32.1, 67.9] minus=[67.8, 32.2] score=0.458 (n=12) -> theta=[50.0, 50.0] [11s]
iter 29/200 c_k=17.79 a_k=1.73 delta=[-1, -1] plus=[32.2, 32.2] minus=[67.8, 67.8] score=0.458 (n=12) -> theta=[50.0, 50.0] [13s]
iter 30/200 c_k=17.73 a_k=1.71 delta=[1, 1] plus=[67.7, 67.7] minus=[32.3, 32.3] score=0.333 (n=12) -> theta=[50.0, 50.0] [11s]
iter 31/200 c_k=17.67 a_k=1.69 delta=[1, -1] plus=[67.6, 32.3] minus=[32.3, 67.7] score=0.583 (n=12) -> theta=[50.0, 50.0] [11s]
iter 32/200 c_k=17.62 a_k=1.67 delta=[1, 1] plus=[67.6, 67.6] minus=[32.4, 32.4] score=0.583 (n=12) -> theta=[50.0, 50.0] [12s]
iter 33/200 c_k=17.56 a_k=1.65 delta=[1, -1] plus=[67.5, 32.4] minus=[32.4, 67.6] score=0.583 (n=12) -> theta=[50.0, 50.0] [20s]
iter 34/200 c_k=17.51 a_k=1.63 delta=[1, 1] plus=[67.5, 67.5] minus=[32.5, 32.5] score=0.500 (n=12) -> theta=[50.0, 50.0] [11s]
iter 35/200 c_k=17.46 a_k=1.61 delta=[1, -1] plus=[67.4, 32.5] minus=[32.5, 67.4] score=0.417 (n=12) -> theta=[50.0, 50.0] [17s]
iter 36/200 c_k=17.41 a_k=1.60 delta=[1, -1] plus=[67.4, 32.6] minus=[32.6, 67.4] score=0.625 (n=12) -> theta=[50.0, 50.0] [13s]
iter 37/200 c_k=17.36 a_k=1.58 delta=[1, -1] plus=[67.4, 32.6] minus=[32.6, 67.3] score=0.667 (n=12) -> theta=[50.0, 50.0] [13s]
iter 38/200 c_k=17.31 a_k=1.56 delta=[-1, -1] plus=[32.7, 32.6] minus=[67.3, 67.3] score=0.792 (n=12) -> theta=[50.0, 49.9] [12s]
iter 39/200 c_k=17.27 a_k=1.55 delta=[1, -1] plus=[67.3, 32.7] minus=[32.7, 67.2] score=0.417 (n=12) -> theta=[50.0, 49.9] [12s]
iter 40/200 c_k=17.22 a_k=1.53 delta=[-1, 1] plus=[32.8, 67.2] minus=[67.2, 32.7] score=0.542 (n=12) -> theta=[50.0, 49.9] [13s]
iter 41/200 c_k=17.18 a_k=1.52 delta=[-1, 1] plus=[32.8, 67.1] minus=[67.2, 32.8] score=0.542 (n=12) -> theta=[50.0, 50.0] [14s]
iter 42/200 c_k=17.14 a_k=1.50 delta=[-1, 1] plus=[32.8, 67.1] minus=[67.1, 32.8] score=0.583 (n=12) -> theta=[50.0, 50.0] [13s]
iter 43/200 c_k=17.10 a_k=1.49 delta=[-1, 1] plus=[32.9, 67.1] minus=[67.1, 32.9] score=0.417 (n=12) -> theta=[50.0, 50.0] [15s]
