elo,avg_cp_loss,blunders,n_moves,mate_misses,result
500,16.8,0,12,0,1-0
543,175.5,1,56,0,0-1
586,34.8,1,32,0,0-1
629,249.3,1,39,0,0-1
671,19.7,0,79,0,0-1
714,169.0,1,60,0,0-1
757,25.0,0,55,0,0-1
800,206.0,1,48,0,0-1
843,33.2,1,36,0,0-1
886,20.5,0,54,0,0-1
929,275.0,1,37,0,0-1
971,509.1,1,20,0,0-1
1014,122.8,1,85,0,0-1
1057,18.8,0,52,0,0-1
1100,516.9,1,19,0,0-1
1143,322.4,3,31,0,0-1
1186,368.6,1,28,0,0-1
1229,30.9,0,42,0,0-1
1271,25.2,0,39,0,0-1
1314,32.9,0,63,0,0-1
1357,30.7,0,31,0,0-1
1400,635.8,3,43,0,0-1
1443,162.9,1,60,0,0-1
1486,28.7,0,30,0,0-1
1529,403.4,1,25,0,0-1
1571,213.8,1,47,0,0-1
1614,21.3,0,53,0,0-1
1657,240.0,1,42,0,0-1
1700,25.3,0,38,0,0-1
1743,15.7,0,63,0,0-1
1786,34.3,1,33,0,0-1
1829,24.4,0,59,0,0-1
1871,14.1,0,56,0,0-1
1914,402.4,1,25,0,0-1
1957,31.8,0,45,0,0-1
2000,19.1,0,48,0,0-1
2043,544.3,2,35,0,0-1
2086,262.8,1,38,0,0-1
2129,24.8,0,56,0,0-1
2171,22.7,0,31,0,1/2-1/2
2214,41.9,0,39,0,0-1
2257,90.3,5,76,0,0-1
2300,18.6,0,53,0,0-1
2343,31.9,0,39,0,0-1
2386,23.2,0,45,0,0-1
2429,25.7,0,32,0,0-1
2471,64.4,1,24,0,0-1
2514,22.6,0,57,0,0-1
2557,25.8,0,34,0,0-1
2600,403.8,1,25,0,0-1
2643,15.7,0,51,0,0-1
2686,205.7,1,51,0,0-1
2729,376.7,2,26,0,0-1
2771,20.4,1,40,0,1-0
2814,26.0,0,44,0,0-1
2857,271.0,1,37,0,0-1
2900,287.8,1,35,0,0-1
2943,28.8,0,47,0,0-1
2986,294.4,1,34,0,0-1
3029,17.5,0,54,0,0-1
3071,382.5,2,25,0,0-1
3114,343.4,2,31,0,0-1
3157,28.5,1,51,0,0-1
3200,29.3,0,42,0,0-1
