elo,avg_cp_loss,blunders,n_moves,mate_misses,result
500,17.6,0,9,0,1-0
543,186.4,3,56,0,0-1
586,356.4,1,28,0,0-1
629,25.7,0,48,0,0-1
671,160.4,2,67,0,0-1
714,25.6,0,52,0,0-1
757,256.1,2,74,0,0-1
800,295.0,3,64,0,0-1
843,188.8,1,54,0,0-1
886,150.3,1,64,0,0-1
929,236.3,1,42,0,0-1
971,21.9,0,73,0,0-1
1014,60.6,1,22,0,0-1
1057,27.8,1,54,0,0-1
1100,198.9,1,51,0,0-1
1143,93.0,3,55,0,0-1
1186,22.0,0,55,0,0-1
1229,165.9,2,60,0,0-1
1271,233.7,1,43,0,0-1
1314,157.8,1,63,0,0-1
1357,53.1,1,25,0,0-1
1400,269.9,1,36,0,0-1
1443,319.9,1,31,0,0-1
1486,30.9,0,30,0,0-1
1529,369.0,1,27,0,0-1
1571,373.9,2,28,0,0-1
1614,213.0,1,47,0,0-1
1657,16.4,0,80,0,0-1
1700,222.2,1,44,0,0-1
1743,20.7,0,65,0,0-1
1786,37.5,1,35,0,0-1
1829,256.1,1,39,0,0-1
1871,38.9,0,35,0,0-1
1914,183.6,1,54,0,0-1
1957,251.8,1,40,0,0-1
2000,43.5,0,22,0,0-1
2043,24.9,0,52,0,0-1
2086,215.6,2,51,0,0-1
2129,250.2,2,74,0,0-1
2171,21.5,0,58,0,0-1
2214,32.3,3,72,0,0-1
2257,182.5,2,57,0,0-1
2300,15.1,0,70,0,0-1
2343,170.1,1,59,0,0-1
2386,27.7,1,82,0,0-1
2429,335.0,2,30,0,0-1
2471,27.4,0,57,0,0-1
2514,27.0,1,39,0,0-1
2557,215.4,1,47,0,0-1
2600,17.7,0,67,0,0-1
2643,130.8,1,76,0,0-1
2686,242.6,1,41,0,0-1
2729,235.5,1,42,0,0-1
2771,173.0,1,57,0,0-1
2814,33.0,1,33,0,0-1
2857,21.8,0,49,0,0-1
2900,289.9,1,35,0,0-1
2943,272.7,1,37,0,0-1
2986,214.4,1,48,0,0-1
3029,869.1,3,33,0,0-1
3071,20.0,0,54,0,0-1
3114,169.8,1,61,0,0-1
3157,277.2,1,38,0,0-1
3200,262.7,1,37,0,0-1
