elo,game_idx,avg_cp_loss,blunders,n_moves,result
1200,0,688.6,2,28,0-1
1200,1,25.0,0,49,1-0
1200,2,37.8,0,31,0-1
1200,3,25.2,0,35,1-0
1200,4,18.3,0,58,0-1
1200,5,385.3,1,25,1-0
1200,6,31.2,0,31,0-1
1200,7,339.0,1,30,1-0
1200,8,26.0,0,61,0-1
1200,9,230.7,1,43,1-0
1200,10,19.0,0,63,0-1
1200,11,27.4,0,41,1-0
1200,12,342.6,1,29,0-1
1200,13,23.5,0,37,1-0
1200,14,187.5,1,54,0-1
1200,15,20.4,1,48,1-0
1800,0,190.4,1,51,0-1
1800,1,17.1,0,42,1-0
1800,2,42.2,0,26,0-1
1800,3,362.5,1,27,1-0
1800,4,41.9,0,29,0-1
1800,5,194.1,2,53,1-0
1800,6,204.0,1,49,0-1
1800,7,28.5,0,30,1-0
1800,8,168.7,2,60,0-1
1800,9,195.0,1,51,1-0
1800,10,19.4,0,45,0-1
1800,11,28.6,0,39,1-0
1800,12,37.2,1,32,0-1
1800,13,320.7,1,31,1-0
1800,14,362.1,1,28,0-1
1800,15,24.7,0,48,1-0
2400,0,240.1,1,41,0-1
2400,1,53.5,1,26,1-0
2400,2,22.2,0,61,0-1
2400,3,63.5,2,24,1-0
2400,4,516.1,2,37,0-1
2400,5,23.0,0,42,1-0
2400,6,29.8,0,38,0-1
2400,7,19.1,0,44,1-0
2400,8,364.1,1,28,0-1
2400,9,28.0,0,36,1-0
2400,10,329.0,1,31,0-1
2400,11,330.1,1,30,1-0
2400,12,329.1,1,31,0-1
2400,13,19.7,0,49,1-0
2400,14,24.5,0,45,0-1
2400,15,179.2,2,59,1-0
3000,0,25.5,0,40,0-1
3000,1,21.4,1,50,1-0
3000,2,21.1,0,48,0-1
3000,3,197.1,1,49,1-0
3000,4,30.4,0,46,0-1
3000,5,275.8,2,69,1-0
3000,6,309.5,1,32,0-1
3000,7,336.5,2,30,1-0
3000,8,150.7,1,67,0-1
3000,9,15.6,0,56,1-0
3000,10,32.3,1,49,0-1
3000,11,36.3,0,28,1-0
3000,12,40.9,1,33,0-1
3000,13,13.2,0,58,1-0
3000,14,140.2,1,75,0-1
3000,15,246.8,1,39,1-0
500,0,199.4,1,51,0-1
500,1,37.3,0,35,1-0
500,2,25.3,0,47,0-1
500,3,188.0,1,52,1-0
500,4,179.5,1,56,0-1
500,5,34.0,1,33,1-0
500,6,10.2,0,72,0-1
500,7,46.9,0,31,1-0
500,8,25.3,0,48,0-1
500,9,13.2,0,62,1-0
500,10,216.5,1,46,0-1
500,11,28.7,0,38,1-0
500,12,138.2,1,41,1-0
500,13,31.5,0,34,1-0
500,14,48.4,1,30,0-1
500,15,26.1,0,46,1-0
